Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
LRRC4C,1,232226_at,-1.12965209,7.31e-14,1.98e-15,Down,Down,232226_at
CORO1C,1,221676_s_at,1.17226207,7.35e-14,1.99e-15,Up,Up,221676_s_at
KRT80,1,231849_at,1.28242227,7.43e-14,2.01e-15,Up,Up,231849_at
EML1,1,204796_at,-1.3367545,8.02e-14,2.2e-15,Down,Down,204796_at
EDNRA,2,204464_s_at,1.2874493,8.3e-14,2.28e-15,Up,Up,204464_s_at|204463_s_at
NRIP1,2,202599_s_at,1.15101739,8.4e-14,2.31e-15,Up,Up,202599_s_at|202600_s_at
TMEM232,1,239776_at,-1.11705395,8.85e-14,2.45e-15,Down,Down,239776_at
TSPAN8,1,203824_at,-1.43912615,9.3e-14,2.59e-15,Down,Down,203824_at
COLEC12,1,221019_s_at,-1.57979276,9.48e-14,2.64e-15,Down,Down,221019_s_at
ASPH,1,205808_at,-1.00457739,9.55e-14,2.67e-15,Down,Down,205808_at
TMEM170B,1,235798_at,-1.08840699,1.02e-13,2.87e-15,Down,Down,235798_at
NOV,2,204501_at,-1.05393132,1.05e-13,2.95e-15,Down,Down,204501_at|214321_at
TSPAN2,1,227236_at,-1.1418452,1.11e-13,3.14e-15,Down,Down,227236_at
FAM218A,1,1553710_at,-1.11635255,1.12e-13,3.18e-15,Down,Down,1553710_at
ANKS1B,1,227441_s_at,-1.38085615,1.19e-13,3.39e-15,Down,Down,227441_s_at
CRYBG3,1,214030_at,-1.01169362,1.23e-13,3.51e-15,Down,Down,214030_at
CRYAB,1,209283_at,-1.51647881,1.3e-13,3.74e-15,Down,Down,209283_at
TUB,1,228882_at,-1.32670252,1.31e-13,3.77e-15,Down,Down,228882_at
ZFP36L1,1,211965_at,1.42361105,1.33e-13,3.83e-15,Up,Up,211965_at
NKAIN4,2,228017_s_at,1.44894365,1.39e-13,4.03e-15,Up,Up,228017_s_at|228018_at
SDK2,1,242064_at,-1.14427839,1.41e-13,4.07e-15,Down,Down,242064_at
CXCL12,1,209687_at,-1.56083997,1.43e-13,4.14e-15,Down,Down,209687_at
INHBB,1,205258_at,1.24355773,1.47e-13,4.27e-15,Up,Up,205258_at
ANKDD1A,1,229497_at,-1.09734473,1.52e-13,4.44e-15,Down,Down,229497_at
PYGO1,1,239741_at,-1.05926389,1.52e-13,4.43e-15,Down,Down,239741_at
ALDH1A1,1,212224_at,-1.63729573,1.59e-13,4.69e-15,Down,Down,212224_at
TNFRSF21,1,218856_at,1.40380039,1.59e-13,4.67e-15,Up,Up,218856_at
KCNA1,1,230849_at,-1.06861095,1.68e-13,4.97e-15,Down,Down,230849_at
PCNX2,2,229202_at,1.26154492,1.77e-13,5.25e-15,Up,Up,229202_at|39650_s_at
MIPOL1,1,244246_at,-1.01895884,1.84e-13,5.46e-15,Down,Down,244246_at
MDH1B,2,238721_at,-1.04013556,1.88e-13,5.61e-15,Down,Down,238721_at|1558077_s_at
CPXM1,1,227860_at,-1.63410948,1.89e-13,5.63e-15,Down,Down,227860_at
TRIM36,2,219736_at,3.0650696,1.98e-13,5.94e-15,Up,Up,219736_at|231123_at
FRAS1,1,226145_s_at,-1.55025367,2.01e-13,6.04e-15,Down,Down,226145_s_at
TMEM163,2,223503_at,2.94616882,2.02e-13,6.06e-15,Up,Up,223503_at|1552626_a_at
APOC1,2,204416_x_at,2.68000617,2.07e-13,6.25e-15,Up,Up,204416_x_at|213553_x_at
SYT12,1,228072_at,1.62701135,2.18e-13,6.64e-15,Up,Up,228072_at
SLC1A1,2,206396_at,-1.17614186,2.31e-13,7.12e-15,Down,Down,206396_at|213664_at
SEMA6D,2,226492_at,-1.62607334,2.36e-13,7.25e-15,Down,Down,226492_at|233882_s_at
ITPR1-AS1,1,239764_at,-1.11852034,2.37e-13,7.3e-15,Down,Down,239764_at
C1orf116,2,219476_at,1.90140927,2.48e-13,7.63e-15,Up,Up,219476_at|228865_at
TMEM246,2,224458_at,-1.49280015,2.59e-13,8.05e-15,Down,Down,224458_at|213386_at
