"Rank","Gene","Relevance_score"
"760","SIRT1","28.0455703735352"
"761","CDH2","27.9994258880615"
"762","SNAI2","27.9617767333984"
"763","BMP6","27.9540596008301"
"764","PICART1","27.9500942230225"
"765","FOXM1","27.9348335266113"
"766","MNX1-AS1","27.9294261932373"
"767","CBR3-AS1","27.9139556884766"
"768","PCAT7","27.896484375"
"769","HSPB1","27.8945941925049"
"770","MIR130A","27.8896102905273"
"771","TBL1X","27.8798809051514"
"772","POLK","27.8725738525391"
"773","CD40LG","27.8362426757813"
"774","ETS1","27.8177585601807"
"775","TRIP11","27.7910099029541"
"776","MIRLET7A1","27.7725238800049"
"777","NAT2","27.7720413208008"
"778","PTPN3","27.770601272583"
"779","PTH","27.7610893249512"
"780","CXCL10","27.7417221069336"
"781","MIR15B","27.737585067749"
"782","CCNB1","27.6945838928223"
"783","LOC130062899","27.6721572875977"
"784","ZEB1-AS1","27.6464500427246"
"785","DIS3L2","27.6337966918945"
"786","MMP7","27.6158084869385"
