Gene,GeneCards_rank,GeneCards_relevance_score,In_GeneCards_top2000,In_OMIM,Disease_source_pattern
RECQL,309,43.0538444519043,Yes,No,"GeneCards top 2,000"
XRCC1,310,42.9685859680176,Yes,No,"GeneCards top 2,000"
MIR183,311,42.7918014526367,Yes,No,"GeneCards top 2,000"
XPC,312,42.7215423583984,Yes,No,"GeneCards top 2,000"
CCDC6,313,42.6872406005859,Yes,No,"GeneCards top 2,000"
SMAD2,314,42.6544952392578,Yes,No,"GeneCards top 2,000"
GHET1,315,42.5990447998047,Yes,No,"GeneCards top 2,000"
SOD2,316,42.5417747497559,Yes,No,"GeneCards top 2,000"
NBR2,317,42.4439392089844,Yes,No,"GeneCards top 2,000"
FGD5-AS1,318,42.4134826660156,Yes,No,"GeneCards top 2,000"
ERCC1,319,42.3504638671875,Yes,No,"GeneCards top 2,000"
GLI1,320,42.2863540649414,Yes,No,"GeneCards top 2,000"
SNAI1,321,42.2615280151367,Yes,No,"GeneCards top 2,000"
NFKB1,322,42.2472801208496,Yes,No,"GeneCards top 2,000"
SOX2,323,42.2415618896484,Yes,No,"GeneCards top 2,000"
LGALS3,324,42.2288970947266,Yes,No,"GeneCards top 2,000"
LINC00324,325,42.1879386901855,Yes,No,"GeneCards top 2,000"
AKT3,326,42.0937194824219,Yes,No,"GeneCards top 2,000"
CASR,327,42.0708274841309,Yes,No,"GeneCards top 2,000"
EGFR-AS1,328,42.0000953674316,Yes,No,"GeneCards top 2,000"
MGMT,329,41.9158973693848,Yes,No,"GeneCards top 2,000"
MIR27A,330,41.7570610046387,Yes,No,"GeneCards top 2,000"
NR2F1-AS1,331,41.7397079467773,Yes,No,"GeneCards top 2,000"
PRKDC,332,41.6437530517578,Yes,No,"GeneCards top 2,000"
TFF1,333,41.6160926818848,Yes,No,"GeneCards top 2,000"
ERCC4,334,41.6153450012207,Yes,No,"GeneCards top 2,000"
SNHG16,335,41.5220947265625,Yes,No,"GeneCards top 2,000"
PARP1,336,41.4333381652832,Yes,No,"GeneCards top 2,000"
FOXD3-AS1,337,41.2440414428711,Yes,No,"GeneCards top 2,000"
ETV6,338,41.1816864013672,Yes,No,"GeneCards top 2,000"
KRT7,339,41.1154479980469,Yes,No,"GeneCards top 2,000"
NRG1,340,41.0916862487793,Yes,No,"GeneCards top 2,000"
MIR199A1,341,41.0109939575195,Yes,No,"GeneCards top 2,000"
LINC-PINT,342,40.9900512695313,Yes,No,"GeneCards top 2,000"
SMO,343,40.9238204956055,Yes,No,"GeneCards top 2,000"
RARB,344,40.7451286315918,Yes,No,"GeneCards top 2,000"
PAX8-AS1,345,40.6681900024414,Yes,No,"GeneCards top 2,000"
MIR182,346,40.5759811401367,Yes,No,"GeneCards top 2,000"
VEGFC,347,40.5719985961914,Yes,No,"GeneCards top 2,000"
MIR34C,348,40.5408668518066,Yes,No,"GeneCards top 2,000"
FOXP4-AS1,349,40.5142250061035,Yes,No,"GeneCards top 2,000"
LINC01614,350,40.4628143310547,Yes,No,"GeneCards top 2,000"
DNMT1,351,40.3894309997559,Yes,No,"GeneCards top 2,000"
KEAP1,352,40.3889770507813,Yes,No,"GeneCards top 2,000"
IDH2,353,40.3323173522949,Yes,No,"GeneCards top 2,000"
VDR,354,40.3029098510742,Yes,No,"GeneCards top 2,000"
ZFPM2-AS1,355,40.2901992797852,Yes,No,"GeneCards top 2,000"
PALLD,356,40.2575950622559,Yes,No,"GeneCards top 2,000"
KRT20,357,40.2370529174805,Yes,No,"GeneCards top 2,000"
OIP5-AS1,358,40.2331275939941,Yes,No,"GeneCards top 2,000"
MIR20A,359,40.2266159057617,Yes,No,"GeneCards top 2,000"
MIR200A,360,40.1954498291016,Yes,Yes,"GeneCards top 2,000 + OMIM"
RAD54L,361,40.1862258911133,Yes,Yes,"GeneCards top 2,000 + OMIM"
SMAD7,362,40.0728607177734,Yes,No,"GeneCards top 2,000"
FN1,363,40.0408706665039,Yes,No,"GeneCards top 2,000"
AXL,364,40.0020484924316,Yes,No,"GeneCards top 2,000"
BCL2L1,365,39.9811325073242,Yes,No,"GeneCards top 2,000"
MIR200C,366,39.8926277160645,Yes,No,"GeneCards top 2,000"
ROS1,367,39.8764152526855,Yes,No,"GeneCards top 2,000"
TRIP13,368,39.7254333496094,Yes,No,"GeneCards top 2,000"
GSTP1,369,39.6604919433594,Yes,No,"GeneCards top 2,000"
NCOR2,370,39.6438217163086,Yes,No,"GeneCards top 2,000"
MIR150,371,39.5269622802734,Yes,No,"GeneCards top 2,000"
ABCG2,372,39.4899787902832,Yes,No,"GeneCards top 2,000"
FGFR4,373,39.4455451965332,Yes,No,"GeneCards top 2,000"
MIR139,374,39.4022102355957,Yes,No,"GeneCards top 2,000"
TRIM24,375,39.3768005371094,Yes,No,"GeneCards top 2,000"
GSK3B,376,39.2858848571777,Yes,No,"GeneCards top 2,000"
GPC3,377,39.2138671875,Yes,No,"GeneCards top 2,000"
CCL2,378,39.1726188659668,Yes,No,"GeneCards top 2,000"
CASC11,379,39.0993614196777,Yes,No,"GeneCards top 2,000"
LRP1B,380,39.0228729248047,Yes,No,"GeneCards top 2,000"
IGFBP3,381,39.0226974487305,Yes,No,"GeneCards top 2,000"
MIR210,382,38.9807739257813,Yes,No,"GeneCards top 2,000"
MIR29A,383,38.9683952331543,Yes,No,"GeneCards top 2,000"
PRNCR1,384,38.9297714233398,Yes,No,"GeneCards top 2,000"
MIR223,385,38.9146347045898,Yes,No,"GeneCards top 2,000"
KRT19,386,38.8788719177246,Yes,No,"GeneCards top 2,000"
SNHG12,387,38.8466033935547,Yes,Yes,"GeneCards top 2,000 + OMIM"
ABCC1,388,38.7544631958008,Yes,No,"GeneCards top 2,000"
DIO1,389,38.7374267578125,Yes,Yes,"GeneCards top 2,000 + OMIM"
MIR149,390,38.7100791931152,Yes,No,"GeneCards top 2,000"
MIR181A1,391,38.6782684326172,Yes,No,"GeneCards top 2,000"
SHH,392,38.6508369445801,Yes,No,"GeneCards top 2,000"
XPA,393,38.6471405029297,Yes,No,"GeneCards top 2,000"
CDK2,394,38.6022834777832,Yes,No,"GeneCards top 2,000"
